0.042,0.23379999999999998,39.06,45.01,Nuon , Vaste Prijs Stroom en Gas tot 1 jr. Vast Actie
0.0536,0.3157,41.52,41.52,Eneco , EcoStroom + AardGas Voordeel 1 jaar Vast Actie
0.042,0.23379999999999998,39.06,45.01,Nuon , Vaste Prijs Stroom en Gas tot 1 jr. Vast Actie
0.038599999999999995,0.25239999999999996,55.08,61.08,Oxxio , Groene Stroom en Gas Budget 1 jr Actie Vast
0.0366,0.1906,81.02,81.02,Nederlandse Energie Maatschappij , Groene Stroom en Gas Vast 1 jr. Actie
0.038599999999999995,0.25239999999999996,58.08,64.08,Oxxio , Nederlandse Wind en Gas 1 jr Actie Vast
0.0351,0.1936,34.85,34.85,Greenchoice , Stroom en Gas Groenmix Vast
0.0513,0.26530000000000004,37.5,37.5,ENGIE , Gas + Elektriciteit Helder Groen 1 Jr Vast actie
0.048600000000000004,0.2675,36.0,36.0,DELTA , Standaard Stroom en Gas Vast 1jr. Actie
0.0452,0.2452,47.88,47.88,E.ON , Groene stroom en Gas Vast 1 jaar Actie
0.0444,0.2257,29.04,29.04,Pure Energie , Pure Stroom en Gas vast 1 jaar Actie
